customer_id,customer_zip_code_prefix,customer_city,customer_state
FOHBkie5YOyT,7273,Sao Luis,MA
e2pbPEjaeR6m,66035,Rio De Janeiro,RJ
elCsLJhTBJtl,55590,Paraty,RJ
rCX2RwzGubEQ,78455,Mogi Das Cruzes,SP
xbIMznITKpTA,87709,Conceicao De Macabu,RJ
BKYTz5VyeBBd,17034,Brasilia,DF
abN6KF4qdL4n,4859,Sao Bernardo Do Campo,SP
Azn5ULeYYh8s,9160,Santos,SP
78uia3DgAfNK,12960,Santa Isabel,SP
Py7WXu4L3Wmi,65870,Guarulhos,SP
CFLESwh13Z7B,64820,Adamantina,SP
SaNj4MhzahVL,69099,Salvador,BA
qk3Ys1QXliaP,26113,Barueri,SP
4JEusie8wqjJ,98465,Limeira,SP
NvTNauiH1qDG,75713,Osasco,SP
HFRFmaPKlKMJ,18380,Sao Goncalo,RJ
KC8GYZZaxJut,89868,Sao Paulo,SP
1GWMLfIMdj4c,29970,Alfenas,MG
MqcXipRNMkYz,23070,Vitoria,ES
ILqTIy6lgDe6,95055,Campo Grande,MS
qok4zm9Soojy,2368,Sao Paulo,SP
K344NrOcLCky,48030,Salvador,BA
Q8Lv1HumoePe,13290,Itajai,SC
8Y14XQoJK8Ha,23911,Rio De Janeiro,RJ
lZxA6yRvTQOj,89690,Florianopolis,SC
nodpgJjEkMSi,55016,Caratinga,MG
9tBiIII0TOJc,18707,Florianopolis,SC
wu4LLpEktWbt,74680,Garanhuns,PE
wMofpXKFWSfh,13060,Maua,SP
2gkH6jQ35V6r,36328,Ribeirao Preto,SP
KmfdV8VuGWM8,18143,Ariquemes,RO
DZQwRhEhGk0D,7064,Diadema,SP
PXqEjREEffav,62190,Niteroi,RJ
orIYzq1FFngF,68505,Morrinhos,GO
XBdsnwLCiVEB,62400,Londrina,PR
XojCouERzFos,32425,Goiania,GO
5j1oYFmufbg3,88816,Erechim,RS
bF5K2Cy2Z7ti,57545,Guaruja,SP
0P8fiFGwbcyB,6056,Brasilia,DF
RwArI5y9MN7r,58027,Rio De Janeiro,RJ
SpZjRYzPDtxp,65293,Sao Paulo,SP
xe0n3nVehHaT,8051,Niteroi,RJ
waMZKYMRuVn2,58195,Fernandopolis,SP
GUzQDRVGumYn,82030,Sao Paulo,SP
qPcKrtMv39Ny,31170,Sao Paulo,SP
weHkbjfrV556,51021,Nova Iguacu,RJ
qkLJoaytabZ0,52150,Goiania,GO
mpDGFN6xdUn7,6535,Carapicuiba,SP
sNJV5Gu55TZU,70722,Aparecida De Goiania,GO
G9BomGyiASFC,3870,Sao Paulo,SP
U6mP30pWiUQe,74825,Sao Paulo,SP
C2neZlovyKdO,96508,Goiania,GO
zYGWePUn88Up,30666,Alto Boa Vista,MT
jNtpBPyIRlVh,2672,Bombinhas,SC
ZmQxYSc3Pkep,41612,Sao Paulo,SP
kUuQFMv8ogyX,20040,Tubarao,SC
QCRBg1XfOOjC,11703,Serra,ES
G1xpdgzhaH2L,76934,Fortaleza,CE
jLJ0UsbRochy,29735,Guaruja,SP
mdegAh8lW0zh,45615,Rio De Janeiro,RJ
XHcb3dwn67J0,13601,Sao Paulo,SP
J8tIqKe7Lwty,2913,Sao Paulo,SP
tD2qw06fKcBX,2560,Maua,SP
jOwLUQxf2vs7,59700,Sao Bernardo Do Campo,SP
Aih9DU6s8oyK,71971,Anchieta,ES
DAue1YHraRsj,39625,Porto Alegre,RS
lOWywMERsxp0,31540,Rio Verde,GO
32bFKHvMMEMv,27933,Salinas,MG
pFnZuW57EJTb,65605,Macae,RJ
qZiLCVLOzw0L,68640,Rio De Janeiro,RJ
5ScAfYqpztVr,58027,Rio De Janeiro,RJ
PkOW7Cbf1rU5,12908,Ourinhos,SP
Q9msAR1VvoH1,75906,Rio De Janeiro,RJ
5S0TZfFeWPJY,64764,Cariacica,ES
OU8Z7zF81JnT,62940,Jacarei,SP
BDzndD4z9i8L,57520,Sao Jose Dos Campos,SP
a6lBUx2AmE65,28911,Maringa,PR
lqQQsrkprasJ,58195,Fernandopolis,SP
XTOCrs09YhZc,85825,Sao Miguel Do Iguacu,PR
it7WXIogmstw,59518,Teresopolis,RJ
JOACXMuORdtc,11310,Palmeira Das Missoes,RS
yupMoEFfDnE6,93525,Rio De Janeiro,RJ
H0nuPXkLsYFV,30315,Serra,ES
r9lY5RrZLPkE,45055,Sao Gotardo,MG
dxaR7zuMZLgv,72329,Rosario Do Sul,RS
baOQZP8fmfKu,11664,Rio De Janeiro,RJ
q1JW0zZ8t77Z,48925,Curitiba,PR
kgaRisbWkR8S,99350,Campos Dos Goytacazes,RJ
AWTTxA4Co08L,57520,Sao Jose Dos Campos,SP
LJGTAEWNa0kn,7121,Sao Sebastiao Do Alto,RJ
gHIMze7jfJUK,88374,Sao Paulo,SP
BUGMPRmV0G7u,9641,Itueta,MG
qGZel9QhDI8k,3966,Pitangueiras,SP
siCyyCHgC5RU,60160,Belo Jardim,PE
AXZAKk41nNaN,52090,Sao Paulo,SP
OfMjFMFtGloy,57084,Gurupi,TO
m3LhGnVaiRSE,2978,Sao Paulo,SP
rmFc8ZT8QAFE,14801,Rio De Janeiro,RJ
FyFlugMB18oj,4567,Itanhaem,SP
1HB2U2sb6O4I,23070,Vitoria,ES
77lm2vFcJFw7,6343,Piracicaba,SP
LdivnAK1VWzF,65480,Sao Paulo,SP
OKSc9zMvBf3H,74954,Sao Paulo,SP
YpVY4KIM3kpF,58187,Sao Joao Da Barra,RJ
I4ORWasAtn2t,86990,Mogi Das Cruzes,SP
sGbCOPBJBIGl,57036,Natal,RN
jV8iADqbmykv,5018,Taubate,SP
EgtRXe3XSoXX,71905,Sao Paulo,SP
vIv7e64Weojr,5586,Sao Bento Do Sul,SC
f0McnuJJg7y7,72506,Granja,CE
w4gVmc7ZPB7J,89888,Jandaia Do Sul,PR
DxOIWqM5WfD9,81220,Rio De Janeiro,RJ
niuqvDhsbEh8,11010,Porto Alegre,RS
wXlHYtczLH4a,60010,Belo Horizonte,MG
NDyqAszwpmxL,45065,Sao Paulo,SP
ix0IHcRs0FhV,12830,Manaus,AM
KWvYwxFj89oa,59012,Franca,SP
vHB4wi1rw7yJ,5582,Contagem,MG
SkyzvQhclOjl,7861,Porto Alegre,RS
eGMfCgBLlg0f,94410,Sao Paulo,SP
7TsE2duwQ56v,65036,Coronel Freitas,SC
IcpG2VytJuOz,13171,Osasco,SP
CMzWm8HwIEmO,99190,Rio De Janeiro,RJ
y3TdpB1uofUy,70238,Campinas,SP
jR6aMohAuoS4,26535,Rio De Janeiro,RJ
fhyuZMq5ShwO,7854,Sao Paulo,SP
0t5EtElaEA8e,71909,Sao Paulo,SP
cf8KM8v09yFJ,86078,Sao Paulo,SP
RLR3Jci7EXFZ,72145,Curitiba,PR
0ShwdFYw9sTD,5584,Marilia,SP
lpnDqjklOzIA,71698,Curitiba,PR
asSHqDT749oJ,9684,Sao Carlos,SP
MhqK5dPuLYq2,87270,Curitiba,PR
tvF46j0D02zc,65074,Rio De Janeiro,RJ
o2XHJSQDVUjH,54120,Sao Paulo,SP
A2TCBWxtXciV,89095,Aracaju,SE
LxPsuAedB4QS,13610,Santana,AP
FIE7qnYGWctO,96075,Sao Paulo,SP
tZilI8V0g1e0,91150,Santo Andre,SP
kSoHzbViRklm,48475,Jequitinhonha,MG
PqmwLFfBnOBx,4844,Novo Hamburgo,RS
5dXseDWEmiMC,46550,Sao Paulo,SP
KUQIrn86ttIe,15160,Sao Paulo,SP
KuWnR59U1FPy,68665,Garanhuns,PE
k2pIrgPtCGma,2441,Ivoti,RS
yhYEYeGAUIUp,6630,Turvelandia,GO
Ct3CALEeBTfd,17600,Sao Paulo,SP
uYWZFxT8YNW8,76195,Sao Paulo,SP
uiQXR8amJUZ5,2126,Sao Goncalo,RJ
J2eUP3qQRX21,74932,Cornelio Procopio,PR
f5osd5e09qiH,89035,Sao Paulo,SP
Clcqfbd0dHQy,5858,Ibaiti,PR
wogvLVoYwlWu,59380,Itajuba,MG
UJAKUaIGlRn3,24119,Contagem,MG
JKRYqZKJtJZE,9691,Sao Paulo,SP
wlZXim18Y5wp,4015,Rio De Janeiro,RJ
V2yQapEqeiQ6,5707,Conselheiro Lafaiete,MG
XVlW6vVBrmk6,5521,Cabo Frio,RJ
fAmGDfYoJrNI,13973,Cruz Alta,RS
xCiOfWxQ7Btv,16025,Aracaju,SE
0EzNwB0wYA0w,82300,Andradina,SP
eQaIzzVXvSVe,85423,Fortaleza,CE
Eyr64dIilcgM,4567,Itanhaem,SP
Nsa1cccryn3Q,99450,Laguna,SC
GtjbUb6VvhUd,7221,Barra Velha,SC
RR1YZ96cZobY,30662,Santos,SP
c6jqSw2fKK1m,15042,Curitiba,PR
fQp5U82OnxIM,15154,Camacari,BA
pV5CMhjRA4BD,1534,Lavras,MG
5rqBHhb2Lu0d,14990,Diadema,SP
Vbad86A2kO7h,70872,Fortaleza,CE
sonYdrcofFIt,1138,Salvador,BA
YzjQ1d4ODDkP,4612,Sao Paulo,SP
MtMtwGLv0AAT,40070,Guarapari,ES
cZEYe5ZKG6Ze,4274,Rio De Janeiro,RJ
WZCFk7SWMFFm,6844,Taubate,SP
suzK9f0sEvIi,93214,Sao Paulo,SP
4Bv5yXlke7qp,17860,Santo Andre,SP
cNow1DF5YxjX,41231,Volta Redonda,RJ
3Ll46Tj9RN0q,16670,Fortaleza,CE
CuXTYUcBde3A,88868,Ilhabela,SP
kpZeu9Hs5XXS,6810,Santos,SP
pJbXZRS0sqqS,11088,Embu Das Artes,SP
M0P5DHWYoZPr,35740,Itajuba,MG
WJ0q80kQ7mZH,37278,Campanha,MG
318n0db79d19,89253,Uba,MG
8xqmTu5tWixx,9160,Santos,SP
JRAkBW52ylzK,50100,Sao Paulo,SP
82FOTwe8xDKO,58069,Sapucaia Do Sul,RS
liwpNZL3DOZJ,3962,Rio De Janeiro,RJ
oyP6xO7xWbXU,2519,Rio De Janeiro,RJ
7mxhG9PYa0St,3942,Santana De Parnaiba,SP
7CbZKrOjHS4p,70253,Rio De Janeiro,RJ
PZ5SLcuCD4Yu,2213,Nova Lima,MG
xydnwS2B3vnq,6443,Belo Horizonte,MG
fSoEDQavGSYo,37036,Sangao,SC
k4jj7bTV7KmF,77940,Perdigao,MG
QlaBWwflyrZE,71200,Cariacica,ES
Jzld306kU0gs,38749,Indaiatuba,SP
4A1nimyUtrUc,53350,Duque De Caxias,RJ
XX2dJ9DXoJxM,31744,Rio De Janeiro,RJ
D4td8E6o42m6,59275,Porto Alegre,RS
BRLLIQSyAdJL,71065,Amparo,SP
foSnpCEnGhUf,2436,Jucurutu,RN
P6cZmNiSsPET,99712,Sao Paulo,SP
ubqgVrx7Q6VP,3940,Cotegipe,BA
0N5XKb26IvYY,83010,Maringa,PR
zf5qacELJXoq,64003,Joao Pessoa,PB
lYUoEtPmJ3Ec,29047,Teresopolis,RJ
bsKMNBf3TtKo,65051,Rio De Janeiro,RJ
BQrXeVYPxqjC,75630,Bom Jesus,PI
Gv4L7KQQIHYo,4416,Cachoeiro De Itapemirim,ES
zCLkW72kCLsN,4689,Sao Paulo,SP
NPnOZtUOru3M,88430,Rio De Janeiro,RJ
u4hRRgVMxNTn,35230,Parnaiba,PI
tkakHcVpbwX6,36606,Sao Paulo,SP
4KLZy11ffOBh,11679,Sao Paulo,SP
raO6T3ZRgYFO,2464,Sao Paulo,SP
WIP8NXN0UPhn,3678,Guarulhos,SP
bjeelhNkZcyv,3710,Belo Horizonte,MG
ZVNvIsLUX7Ow,61658,Feira De Santana,BA
WcVycaMeJ4gS,63125,Sao Paulo,SP
kzwYrZU61Z4q,79530,Santa Cruz Das Palmeiras,SP
G6MX3ES0McR8,76386,Porto Alegre,RS
mUpYzU9GRF4C,89113,Piedade De Caratinga,MG
cQuboCzfXNZr,4470,Tres Coracoes,MG
wzKCnrsGrhPT,11703,Serra,ES
J12B3ZAghOYC,80520,Novo Oriente,CE
iVkQDCNUtDjj,53610,Sao Jose,SC
UE4JY3IxQWBi,48840,Rio De Janeiro,RJ
Ne3XkcBUVu8b,58540,Rio De Janeiro,RJ
4GshpMTgfphC,70331,Joao Pessoa,PB
MCJjhEvGihoi,37940,Barra Do Pirai,RJ
Qq0Ot1OJIGWr,5712,Mariapolis,SP
JOfDxyqX9fkr,4054,Goiania,GO
pl1k9l5U9S8e,9785,Jundiai,SP
PSsOpTjyt9Wi,13337,Sao Paulo,SP
RIwtPliUhQqd,21210,Rio Do Antonio,BA
krPjYIHB5zZO,2012,Sao Paulo,SP
jKjvNEBa2aca,93212,Piracicaba,SP
92M1ZSNwBu4x,89259,Sao Paulo,SP
Sv2DgoaKSvpO,74660,Rio De Janeiro,RJ
w6vMShfahXuV,13349,Ji-Parana,RO
4dXpFDzeEjZN,11542,Sao Paulo,SP
8dkyClEJJOYa,65606,Sao Luis,MA
DdZ29jlHHmyY,74840,Janauba,MG
YPU900q1t2YI,21020,Curitiba,PR
pHOHna6m77aV,88570,Carapicuiba,SP
L02EQ9VH35mB,87860,Lajeado,RS
sq0rbPHjliJf,7835,Valenca,RJ
JQKGVe0QMCMH,2873,Sorocaba,SP
BtHimucWMyxR,69086,Niteroi,RJ
SGhJNvVg9Xi0,39645,Santos,SP
KYzOqTmXicFK,5547,Diamantina,MG
v0LHJSIsjfmf,1127,Americana,SP
ETxNSyUi9shg,80540,Sao Paulo,SP
pYxdTfdytZ2g,58675,Linhares,ES
ynxUzbdIr3w3,3004,Sao Paulo,SP
lJEOyEyJeAQ3,32675,Porto Alegre,RS
rxjKzexaNB9k,37245,Florianopolis,SC
Hnvi7ZKd3ViY,19230,Itatiba,SP
E5gUJ12UZIcN,1254,Sao Paulo,SP
Ms31JGlld0AB,12228,Pedro Leopoldo,MG
qVQXahZZS0J5,29240,Rio De Janeiro,RJ
lT6im48NY8vz,3401,Niteroi,RJ
q2FJe6vCRDrC,48967,Itacare,BA
XtOyBmJp0LUi,65470,Cocal Do Sul,SC
JpUSpyQNnUFU,9445,Uberlandia,MG
x4edkJFvuVsU,4144,Florianopolis,SC
KWppLJ3KkTqt,74375,Guarulhos,SP
hi55tQkf1YUb,60861,Salvador,BA
GyvnEFzj1eSn,36590,Piracicaba,SP
8H9DOt7c6rdA,12305,Juiz De Fora,MG
gfqX2v3f4RPq,6130,Sorocaba,SP
BW8Lo9R5OCBF,55250,Itabira,MG
juTccWeP0t36,9750,Coribe,BA
yZHCoK29gkLY,93218,Sao Paulo,SP
1ZcxU7AQGZ9F,45157,Feira De Santana,BA
lhqcordf2lwr,49190,Cosmopolis,SP
yBkaZti5rtw3,58068,Sao Paulo,SP
uWLhlCUxUAvB,13060,Maua,SP
HrmPH3YugHtK,22061,Sao Paulo,SP
mrR5h0AEdYi6,3433,Para De Minas,MG
ngktKR1wEcBm,85860,Ponta Grossa,PR
tiR8d0Kh5Jc6,65046,Recife,PE
fa3w4QbR495z,65335,Florianopolis,SC
3p6GlBbXYyIE,12216,Suzano,SP
g3Zqo0PFbDqc,4137,Araras,SP
BDA2JVxE7ftl,21760,Belo Horizonte,MG
ydAOeYfFxXaF,40280,Jardim Olinda,PR
T1Wpepr3o18t,3378,Limeira,SP
WVv4miDDo0eX,4231,Brasilia,DF
bNeRqMLIiSra,35064,Bauru,SP
4OtrRICCPJjt,44024,Conselheiro Lafaiete,MG
3V9lD01x1gJn,2861,Lima Duarte,MG
ra74PYXYSXiJ,25680,Sao Paulo,SP
lFYmOcPHaoiu,6845,Petropolis,RJ
v1l7AIjVmt79,5367,Sao Bernardo Do Campo,SP
9sOKJY1Egnyx,75144,Birigui,SP
iFx9nhKebrl7,64002,Santana Do Paraiso,MG
KRONM1dA2lfQ,1551,Sao Paulo,SP
tiLtxv9qmhyC,91540,Brasilia,DF
8pUqAdsQsQDb,45078,Nova Iguacu,RJ
CeEUh3SwQawM,89234,Sao Paulo,SP
jqeaDO2nRwyL,70422,Arcos,MG
DpynHQ1oNPfb,13841,Manaus,AM
5vFPmIruPRJV,23897,Sao Paulo,SP
fGsOxoES4mx7,28905,Curitiba,PR
sS1MpZqBZKal,29212,Sao Paulo,SP
v0XDhQrmh7fF,17057,Candido Mota,SP
bh2cF3JmJ2t9,78400,Andradas,MG
pxR8dmNDPHII,1122,Mogi-Guacu,SP
0dwG62wm5EXo,7064,Diadema,SP
1CTHWhRh08q8,66914,Oeiras Do Para,PA
kg6PjPxXjsla,23525,Rio De Janeiro,RJ
fHVbWHVvFvAg,24411,Araripina,PE
OQzGE68TCNmT,89245,Silvianopolis,MG
1oRENXkJlZ0G,70324,Nanuque,MG
8X4EckRWNgrC,13320,Resende,RJ
DWCmlJ4EG7eX,7042,Sorocaba,SP
dZXNFWBztPxm,2443,Protasio Alves,RS
N3XOyO3yG21M,37860,Rio De Janeiro,RJ
doLbnMg9cgdX,5550,Brumadinho,MG
uriYakkXSNmi,23915,Sao Paulo,SP
XFiJljumZ7uq,8771,Maua,SP
cLLRJbaB1mhj,8613,Sorocaba,SP
oiZmh73uiGwS,31980,Sao Bernardo Do Campo,SP
IgyJvK5gR6SR,23063,Barretos,SP
leBInh5r93HN,77020,Apucarana,PR
0cEBYWKAAChg,50020,Sao Paulo,SP
xtxu1WMCyvol,11444,Taiacu,SP
vCkuMzqO4rmZ,81130,Pelotas,RS
bwZy8EyKyv9S,88130,Araraquara,SP
Y9DZ5DNyxciy,18700,Osasco,SP
qxtN5VZfpUq3,12926,Araraquara,SP
C3kJ70a7fjuS,3636,Itaguai,RJ
0IPkaXGxHl5E,25050,Sao Paulo,SP
rgTkHUdooQPh,2855,Guaratuba,PR
RJBqpyAkOebP,90570,Duque De Caxias,RJ
8ezHf93Uw3G7,64016,Boa Esperanca,MG
Hw7J9UEM7dXT,4567,Itanhaem,SP
PJpmhdRKHSg5,6340,Cuiaba,MT
UaLWJGLgQC3f,3191,Rio De Janeiro,RJ
5MyD7VKiGpIv,31080,Sao Paulo,SP
9fjwetymLYMt,5117,Juiz De Fora,MG
1fJkF55M3PPZ,35830,Itaquaquecetuba,SP
PiJQSSWWQHbm,9571,Nova Prata,RS
iXz5d6LpMj4Y,3320,Veranopolis,RS
CFrkanFG5hxx,74805,Sao Paulo,SP
wBra6P86wElz,65072,Rio De Janeiro,RJ
